note_text,label
Customer asked about pricing and integrations; very interested,1
Not interested due to integration complexity,0
Requested trial access and technical documentation,1
Client mentioned budget is frozen for this year,0
Wants to schedule another meeting with the decision maker,1
Client requested a follow-up demo next week,1
Feature gaps prevent moving forward,0
Excited about feature set; asked about implementation timeline,1
Asked about contract terms and discount options,1
Mentioned lack of need for solution at this time,0
Requested trial access and technical documentation,1
Currently evaluating other competitors,0
Customer said they are happy with current vendor,0
Asked about onboarding process; ready to proceed soon,1
Feature gaps prevent moving forward,0
Wants to schedule another meeting with the decision maker,1
Asked about contract terms and discount options,1
Conversation ended without interest in follow-up,0
Conversation ended without interest in follow-up,0
Decision postponed until next fiscal year,0
No budget approval; unlikely to proceed,0
Not interested due to integration complexity,0
Mentioned lack of need for solution at this time,0
Feature gaps prevent moving forward,0
Requested detailed case studies and references,1
Asked about onboarding process; ready to proceed soon,1
Client requested a follow-up demo next week,1
Requested trial access and technical documentation,1
Requested trial access and technical documentation,1
Requested detailed case studies and references,1
Interested in migrating from current vendor; asked for quote,1
Mentioned lack of need for solution at this time,0
Asked about contract terms and discount options,1
Asked about onboarding process; ready to proceed soon,1
Conversation ended without interest in follow-up,0
Asked about contract terms and discount options,1
No budget approval; unlikely to proceed,0
Asked about contract terms and discount options,1
Requested detailed case studies and references,1
Currently evaluating other competitors,0
Wants to schedule another meeting with the decision maker,1
Interested in proof-of-concept and requested proposal,1
Mentioned lack of need for solution at this time,0
Excited about feature set; asked about implementation timeline,1
Requested detailed case studies and references,1
Customer said they are happy with current vendor,0
Interested in migrating from current vendor; asked for quote,1
Interested in migrating from current vendor; asked for quote,1
Interested in proof-of-concept and requested proposal,1
Interested in proof-of-concept and requested proposal,1
Asked about onboarding process; ready to proceed soon,1
Client requested a follow-up demo next week,1
Asked about contract terms and discount options,1
Decision postponed until next fiscal year,0
Feature gaps prevent moving forward,0
Decision postponed until next fiscal year,0
Mentioned lack of need for solution at this time,0
Asked about contract terms and discount options,1
Currently evaluating other competitors,0
Asked about onboarding process; ready to proceed soon,1
Client mentioned budget is frozen for this year,0
Not interested due to integration complexity,0
Asked about contract terms and discount options,1
Conversation ended without interest in follow-up,0
No budget approval; unlikely to proceed,0
Customer asked about pricing and integrations; very interested,1
Requested trial access and technical documentation,1
Client mentioned budget is frozen for this year,0
Excited about feature set; asked about implementation timeline,1
Not a priority right now; revisit next quarter,0
Customer said they are happy with current vendor,0
Client mentioned budget is frozen for this year,0
Requested trial access and technical documentation,1
Feature gaps prevent moving forward,0
Decision postponed until next fiscal year,0
Interested in migrating from current vendor; asked for quote,1
Not interested due to integration complexity,0
Feature gaps prevent moving forward,0
Mentioned lack of need for solution at this time,0
Decision postponed until next fiscal year,0
Decision postponed until next fiscal year,0
Interested in migrating from current vendor; asked for quote,1
Requested trial access and technical documentation,1
Asked about contract terms and discount options,1
Feature gaps prevent moving forward,0
Decision postponed until next fiscal year,0
Mentioned lack of need for solution at this time,0
Feature gaps prevent moving forward,0
Asked about contract terms and discount options,1
Interested in proof-of-concept and requested proposal,1
Requested trial access and technical documentation,1
Requested trial access and technical documentation,1
Excited about feature set; asked about implementation timeline,1
Decision postponed until next fiscal year,0
Asked about onboarding process; ready to proceed soon,1
Asked about onboarding process; ready to proceed soon,1
Requested trial access and technical documentation,1
Conversation ended without interest in follow-up,0
Feature gaps prevent moving forward,0
Decision postponed until next fiscal year,0
Asked about contract terms and discount options,1
No budget approval; unlikely to proceed,0
Asked about onboarding process; ready to proceed soon,1
Wants to schedule another meeting with the decision maker,1
Not a priority right now; revisit next quarter,0
Not a priority right now; revisit next quarter,0
Requested detailed case studies and references,1
Requested trial access and technical documentation,1
Mentioned lack of need for solution at this time,0
Not a priority right now; revisit next quarter,0
Excited about feature set; asked about implementation timeline,1
Conversation ended without interest in follow-up,0
Requested detailed case studies and references,1
Decision postponed until next fiscal year,0
Mentioned lack of need for solution at this time,0
Customer said they are happy with current vendor,0
Not interested due to integration complexity,0
Customer asked about pricing and integrations; very interested,1
Currently evaluating other competitors,0
Feature gaps prevent moving forward,0
Asked about onboarding process; ready to proceed soon,1
Client mentioned budget is frozen for this year,0
Asked about contract terms and discount options,1
Customer said they are happy with current vendor,0
Mentioned lack of need for solution at this time,0
Feature gaps prevent moving forward,0
Mentioned lack of need for solution at this time,0
Requested trial access and technical documentation,1
Asked about contract terms and discount options,1
Feature gaps prevent moving forward,0
Customer asked about pricing and integrations; very interested,1
Customer asked about pricing and integrations; very interested,1
Customer said they are happy with current vendor,0
Client requested a follow-up demo next week,1
Currently evaluating other competitors,0
Currently evaluating other competitors,0
Customer asked about pricing and integrations; very interested,1
Mentioned lack of need for solution at this time,0
Requested trial access and technical documentation,1
No budget approval; unlikely to proceed,0
Client mentioned budget is frozen for this year,0
Client mentioned budget is frozen for this year,0
Customer asked about pricing and integrations; very interested,1
Mentioned lack of need for solution at this time,0
Currently evaluating other competitors,0
Client requested a follow-up demo next week,1
Client requested a follow-up demo next week,1
Excited about feature set; asked about implementation timeline,1
Not a priority right now; revisit next quarter,0
Interested in proof-of-concept and requested proposal,1
Asked about contract terms and discount options,1
Decision postponed until next fiscal year,0
Asked about contract terms and discount options,1
No budget approval; unlikely to proceed,0
Currently evaluating other competitors,0
Client mentioned budget is frozen for this year,0
No budget approval; unlikely to proceed,0
Requested trial access and technical documentation,1
Customer asked about pricing and integrations; very interested,1
Excited about feature set; asked about implementation timeline,1
Customer said they are happy with current vendor,0
Requested trial access and technical documentation,1
Requested trial access and technical documentation,1
Mentioned lack of need for solution at this time,0
Interested in proof-of-concept and requested proposal,1
Customer asked about pricing and integrations; very interested,1
Customer said they are happy with current vendor,0
Currently evaluating other competitors,0
Not a priority right now; revisit next quarter,0
Customer asked about pricing and integrations; very interested,1
Excited about feature set; asked about implementation timeline,1
Customer said they are happy with current vendor,0
Asked about contract terms and discount options,1
Requested trial access and technical documentation,1
Client requested a follow-up demo next week,1
Feature gaps prevent moving forward,0
Excited about feature set; asked about implementation timeline,1
Excited about feature set; asked about implementation timeline,1
Excited about feature set; asked about implementation timeline,1
